ID,User,Email,Phone,Tags,Extra data,Registered At,Last Login,City,Currency,Balance,Reg. finished,Identity,Location,Disabled,Deleted,Last deposit,Status
PL10000,pieter_ndlovu78,pieter_ndlovu78@example.co.za,+27829592998,"online,sportsbook",{},2024-01-01 10:00:00,2026-06-01 14:20:00,Durban,ZAR,285.47,TRUE,8306025123081,Web Portal,FALSE,FALSE,2026-05-15,Active
PL10001,johan_zulu60,johan_zulu60@example.co.za,+27711098734,retail,{},2024-01-01 10:00:00,2026-06-01 14:20:00,Johannesburg,ZAR,870.91,TRUE,8006025123081,Pretoria Branch,FALSE,FALSE,2026-05-15,Active
PL10002,michael_smith51,michael_smith51@example.co.za,+27717558835,"online,sportsbook",{},2024-01-01 10:00:00,2026-06-01 14:20:00,Johannesburg,ZAR,928.87,TRUE,9106025123081,Android App,FALSE,FALSE,2026-05-15,Active
PL10003,sarah_mokoena66,sarah_mokoena66@example.co.za,+27824073038,"online,sportsbook",{},2024-01-01 10:00:00,2026-06-01 14:20:00,Johannesburg,ZAR,137.18,TRUE,8606025123081,Web Portal,FALSE,FALSE,2026-05-15,Active
PL10004,thabo_smith44,thabo_smith44@example.co.za,+27712900928,"online,sportsbook",{},2024-01-01 10:00:00,2026-06-01 14:20:00,Durban,ZAR,552.7,TRUE,0006025123081,Web Portal,FALSE,FALSE,2026-05-15,Active
PL10005,david_mokoena74,david_mokoena74@example.co.za,+27826849536,"online,sportsbook",{},2024-01-01 10:00:00,2026-06-01 14:20:00,Johannesburg,ZAR,2844.03,TRUE,0006025123081,Android App,FALSE,FALSE,2026-05-15,Active
PL10006,michael_ndlovu42,michael_ndlovu42@example.co.za,+27607401011,"online,sportsbook",{},2024-01-01 10:00:00,2026-06-01 14:20:00,Durban,ZAR,2350.63,TRUE,8906025123081,Android App,FALSE,FALSE,2026-05-15,Active
PL10007,naledi_zulu46,naledi_zulu46@example.co.za,+27826772929,"online,sportsbook",{},2024-01-01 10:00:00,2026-06-01 14:20:00,Pretoria,ZAR,1638.36,TRUE,9006025123081,Android App,FALSE,FALSE,2026-05-15,Active
PL10008,sarah_mokoena98,sarah_mokoena98@example.co.za,+27711853515,"online,sportsbook",{},2024-01-01 10:00:00,2026-06-01 14:20:00,Durban,ZAR,2204.73,TRUE,8106025123081,iOS App,FALSE,FALSE,2026-05-15,Active
PL10009,zama_zulu72,zama_zulu72@example.co.za,+27605306772,"online,sportsbook",{},2024-01-01 10:00:00,2026-06-01 14:20:00,Pretoria,ZAR,2917.31,TRUE,8206025123081,iOS App,FALSE,FALSE,2026-05-15,Active
PL10010,michael_smith81,michael_smith81@example.co.za,+27823277365,"online,sportsbook",{},2024-01-01 10:00:00,2026-06-01 14:20:00,Durban,ZAR,2298.76,TRUE,9406025123081,iOS App,FALSE,FALSE,2026-05-15,Active
PL10011,sarah_mokoena25,sarah_mokoena25@example.co.za,+27608037481,retail,{},2024-01-01 10:00:00,2026-06-01 14:20:00,Johannesburg,ZAR,2452.94,TRUE,9606025123081,Randburg Branch,FALSE,FALSE,2026-05-15,Active
PL10012,pieter_zulu41,pieter_zulu41@example.co.za,+27717642190,"online,sportsbook",{},2024-01-01 10:00:00,2026-06-01 14:20:00,Durban,ZAR,402.62,TRUE,0006025123081,Android App,FALSE,FALSE,2026-05-15,Active
PL10013,michael_khumalo46,michael_khumalo46@example.co.za,+27716974961,"online,sportsbook",{},2024-01-01 10:00:00,2026-06-01 14:20:00,Potchefstroom,ZAR,2273.66,TRUE,8606025123081,Web Portal,FALSE,FALSE,2026-05-15,Active
PL10014,thabo_mokoena26,thabo_mokoena26@example.co.za,+27828152620,"online,sportsbook",{},2024-01-01 10:00:00,2026-06-01 14:20:00,Potchefstroom,ZAR,546.95,TRUE,0006025123081,Android App,FALSE,FALSE,2026-05-15,Active
PL10015,pieter_zulu39,pieter_zulu39@example.co.za,+27714401825,"online,sportsbook",{},2024-01-01 10:00:00,2026-06-01 14:20:00,Potchefstroom,ZAR,1440.31,TRUE,8806025123081,iOS App,FALSE,FALSE,2026-05-15,Active
PL10016,david_van der merwe67,david_van der merwe67@example.co.za,+27604439618,"online,sportsbook",{},2024-01-01 10:00:00,2026-06-01 14:20:00,Pretoria,ZAR,383.91,TRUE,9206025123081,Mobile App,FALSE,FALSE,2026-05-15,Active
PL10017,zama_zulu21,zama_zulu21@example.co.za,+27719574269,"online,sportsbook",{},2024-01-01 10:00:00,2026-06-01 14:20:00,Durban,ZAR,887.36,TRUE,9506025123081,iOS App,FALSE,FALSE,2026-05-15,Active
PL10018,zama_khumalo55,zama_khumalo55@example.co.za,+27604204035,"online,sportsbook",{},2024-01-01 10:00:00,2026-06-01 14:20:00,Pretoria,ZAR,2671.0,TRUE,8206025123081,Web Portal,FALSE,FALSE,2026-05-15,Active
PL10019,david_van der merwe60,david_van der merwe60@example.co.za,+27711338132,"online,sportsbook",{},2024-01-01 10:00:00,2026-06-01 14:20:00,Pretoria,ZAR,2831.72,TRUE,8806025123081,Web Portal,FALSE,FALSE,2026-05-15,Active
PL10020,sipho_mokoena58,sipho_mokoena58@example.co.za,+27716288380,"online,sportsbook",{},2024-01-01 10:00:00,2026-06-01 14:20:00,Johannesburg,ZAR,2572.66,TRUE,0206025123081,Android App,FALSE,FALSE,2026-05-15,Active
PL10021,johan_smith35,johan_smith35@example.co.za,+27713728374,retail,{},2024-01-01 10:00:00,2026-06-01 14:20:00,Durban,ZAR,1614.74,TRUE,8906025123081,Randburg Branch,FALSE,FALSE,2026-05-15,Active
PL10022,sarah_mokoena11,sarah_mokoena11@example.co.za,+27823126247,"online,sportsbook",{},2024-01-01 10:00:00,2026-06-01 14:20:00,Cape Town,ZAR,477.35,TRUE,0106025123081,iOS App,FALSE,FALSE,2026-05-15,Active
PL10023,zama_ndlovu88,zama_ndlovu88@example.co.za,+27712007402,"online,sportsbook",{},2024-01-01 10:00:00,2026-06-01 14:20:00,Potchefstroom,ZAR,999.97,TRUE,8506025123081,iOS App,FALSE,FALSE,2026-05-15,Active
PL10024,thabo_mokoena52,thabo_mokoena52@example.co.za,+27716916013,"online,sportsbook",{},2024-01-01 10:00:00,2026-06-01 14:20:00,Durban,ZAR,1125.24,TRUE,9406025123081,Android App,FALSE,FALSE,2026-05-15,Active
PL10025,david_botha18,david_botha18@example.co.za,+27719283581,retail,{},2024-01-01 10:00:00,2026-06-01 14:20:00,Cape Town,ZAR,237.61,TRUE,8706025123081,Randburg Branch,FALSE,FALSE,2026-05-15,Active
PL10026,michael_khumalo59,michael_khumalo59@example.co.za,+27717679079,retail,{},2024-01-01 10:00:00,2026-06-01 14:20:00,Johannesburg,ZAR,537.23,TRUE,8606025123081,Malvern Branch,FALSE,FALSE,2026-05-15,Active
PL10027,sipho_mokoena68,sipho_mokoena68@example.co.za,+27827086223,"online,sportsbook",{},2024-01-01 10:00:00,2026-06-01 14:20:00,Potchefstroom,ZAR,1497.49,TRUE,9606025123081,iOS App,FALSE,FALSE,2026-05-15,Active
PL10028,david_mokoena34,david_mokoena34@example.co.za,+27827051886,"online,sportsbook",{},2024-01-01 10:00:00,2026-06-01 14:20:00,Pretoria,ZAR,2676.36,TRUE,0206025123081,iOS App,FALSE,FALSE,2026-05-15,Active
PL10029,zama_van der merwe74,zama_van der merwe74@example.co.za,+27604502809,"online,sportsbook",{},2024-01-01 10:00:00,2026-06-01 14:20:00,Potchefstroom,ZAR,1604.09,TRUE,0106025123081,Android App,FALSE,FALSE,2026-05-15,Active
PL10030,pieter_khumalo38,pieter_khumalo38@example.co.za,+27605170742,"online,sportsbook",{},2024-01-01 10:00:00,2026-06-01 14:20:00,Durban,ZAR,690.27,TRUE,8106025123081,Mobile App,FALSE,FALSE,2026-05-15,Active
